synthetic_traffic_datas-2
"North_Flow,South_Flow,East_Flow,West_Flow,Pedestrian_Flow,Weather,Queue_Length_North,Queue_Length_South,Queue_Length_East,Queue_Length_West,Emergency_Priority_North,Emergency_Priority_South,Emergency_Priority_East,Emergency_Priority_West"
"19,26,64,99,11,1,16,13,7,4,0,1,1,0"
"11,84,94,149,1,0,14,5,18,14,0,0,1,0"
"67,82,43,63,35,1,18,16,13,1,1,1,1,0"
"76,8,55,150,41,2,20,18,2,11,1,0,1,1"
"106,118,31,101,29,0,13,1,13,11,0,1,0,0"
"48,1,8,121,30,0,14,11,9,12,0,0,1,0"
"48,88,85,8,7,2,5,20,11,14,1,0,0,0"
"85,3,57,63,16,1,20,3,19,12,0,1,0,0"
"36,139,110,144,7,0,2,11,13,18,0,1,0,0"
"22,62,36,138,30,2,0,20,13,4,0,0,0,0"
"﻿112,22,51,82,25,1,14,0,5,1,0,0,0,1"
"17,69,109,43,17,0,6,20,13,14,1,0,0,0"
"22,147,65,86,26,2,18,14,19,17,0,0,1,0"
"3,24,150,134,40,1,8,8,15,9,0,1,0,0"
"85,4,24,18,16,1,17,18,10,9,0,1,1,1"
"26,98,2,109,34,2,1,17,12,6,1,0,0,0"
"69,30,7,133,32,2,13,17,20,3,0,1,1,1"
"70,80,7,14,29,1,19,20,18,6,1,1,1,1"
"19,32,147,26,6,0,10,11,0,2,0,0,0,0"
"10,147,136,65,40,1,2,6,13,13,0,0,1,0"
"108,51,123,69,0,2,17,11,5,11,0,1,0,0"
"94,101,73,116,36,1,16,13,8,10,0,1,0,0"
"84,77,39,1,4,0,7,20,12,14,1,0,1,0"
"32,82,4,131,25,2,15,4,15,19,0,0,0,0"
"69,24,122,51,17,2,12,2,16,10,0,0,1,1"
"42,137,48,145,12,1,5,13,5,12,0,1,0,0"
"51,40,41,110,36,0,5,12,4,18,1,0,0,1"
"13,144,149,116,4,2,9,19,8,6,0,1,1,1"
"112,86,28,38,5,0,1,18,1,7,0,1,0,1"
"91,80,100,117,0,2,13,16,9,19,1,0,0,0"
"49,96,47,40,23,1,0,8,15,16,0,0,0,0"
"83,11,76,37,14,2,4,14,2,17,1,0,0,1"
"114,54,62,60,34,2,15,18,4,10,1,1,0,0"
"93,108,15,31,7,0,17,16,0,17,0,0,1,0"
"34,76,124,44,30,2,0,10,20,14,0,1,1,0"
"104,129,21,41,44,0,5,7,12,17,0,1,0,1"
"117,11,56,85,5,1,5,20,2,7,0,1,0,0"
"144,96,106,147,23,2,19,6,0,15,0,0,0,1"
"113,122,4,118,23,2,13,14,11,11,0,1,0,0"
"14,128,17,130,6,2,16,16,15,0,0,1,1,0"
"59,23,146,56,36,0,0,15,9,7,0,0,1,0"
"56,139,91,56,45,2,0,1,10,17,0,0,1,0"
"31,114,47,5,2,0,0,6,10,12,1,1,1,0"
"42,85,58,138,39,2,2,1,10,9,1,1,0,0"
"19,59,24,142,22,1,7,3,10,19,1,0,1,1"
"28,60,92,82,7,1,19,11,12,6,0,1,1,0"
"142,32,60,42,20,1,4,16,3,18,0,1,1,0"
"34,118,9,94,48,1,9,6,9,4,0,0,1,0"
"86,73,9,87,40,1,4,18,10,13,1,0,0,0"
"22,100,113,124,47,0,10,12,4,2,1,1,1,1"
"3,145,86,96,15,0,18,16,1,10,1,1,0,0"
"27,90,52,17,38,2,16,15,0,14,1,1,0,1"
"53,132,21,66,16,0,13,11,12,6,0,0,0,1"
"145,12,34,48,19,2,1,6,19,8,0,1,0,0"
"45,34,120,32,33,0,13,8,20,12,0,0,0,1"
"3,97,26,64,9,0,16,5,6,13,1,1,0,1"
"7,59,96,1,28,0,15,17,20,8,1,0,0,1"
"141,92,50,120,12,1,14,10,8,12,1,0,0,1"
"92,19,13,55,44,0,19,17,3,6,1,1,1,0"
"119,109,16,19,12,2,7,9,12,17,1,1,1,0"
"﻿46,97,110,143,32,2,12,3,11,1,0,1,1,0"
"6,52,46,14,37,2,1,7,12,17,0,0,0,0"
"47,148,89,50,44,0,16,12,12,5,0,1,1,0"
"58,45,76,127,0,0,0,15,19,17,0,0,0,0"
"1,70,65,54,23,2,16,10,8,16,1,0,0,0"
"36,59,19,139,26,2,17,12,16,15,0,0,1,1"
"125,139,143,108,35,0,0,1,18,5,0,0,1,0"
"106,15,137,56,27,1,8,3,15,2,1,1,1,0"
"143,91,49,149,49,0,2,17,12,16,0,1,1,0"
"37,31,114,150,46,0,1,13,1,5,1,1,1,0"
"18,31,106,86,36,0,20,13,0,4,1,0,0,1"
"57,138,88,12,25,0,11,15,3,20,1,0,0,1"
"5,71,64,139,47,0,4,10,8,10,1,1,0,0"
"57,63,100,119,1,2,3,17,2,13,0,1,1,0"
"50,84,131,135,13,0,10,15,18,3,1,1,1,0"
"91,96,92,17,27,0,3,10,8,17,1,1,1,0"
"42,71,7,85,9,0,4,1,4,3,1,1,1,1"
"143,91,126,18,19,0,7,0,4,10,1,0,0,0"
"28,22,116,123,23,2,20,19,4,5,1,1,0,1"
"94,15,19,130,3,2,14,7,20,2,1,1,0,0"
"78,133,102,141,2,0,5,17,8,15,1,1,0,1"
"150,86,96,81,32,2,1,5,15,2,0,1,0,1"
"121,52,35,51,13,0,16,16,12,4,0,0,0,0"
"43,149,144,136,20,1,0,9,15,17,0,1,0,1"
"40,102,127,114,43,2,17,20,5,3,1,0,0,0"
"52,101,87,18,24,1,4,18,9,12,1,0,0,0"
"150,93,7,60,34,2,2,17,8,16,0,0,1,0"
"72,127,12,70,6,0,9,3,3,0,0,0,1,1"
"147,101,51,150,0,1,2,17,7,1,1,0,1,1"
"37,85,140,100,35,2,2,8,6,7,0,1,0,0"
"140,129,98,42,16,0,6,5,10,5,1,0,1,0"
"68,14,115,3,29,0,17,2,11,18,1,1,0,0"
"80,90,25,141,31,1,8,18,0,19,0,0,0,0"
"40,62,111,89,7,0,20,11,14,1,1,0,1,1"
"69,6,41,97,22,2,1,1,11,13,1,1,0,0"
"84,111,75,113,3,2,15,7,1,19,0,1,1,0"
"135,139,78,11,7,0,13,5,8,19,0,0,1,1"
"143,143,122,112,16,0,0,20,12,0,0,1,1,1"
"118,116,6,142,37,0,4,19,2,14,0,0,0,0"
"118,20,6,81,9,0,12,12,14,3,0,0,0,1"
"17,117,49,112,23,1,18,10,7,12,0,0,0,1"
"90,94,100,33,12,1,17,8,11,11,0,1,1,1"
"72,123,42,6,49,1,0,2,7,17,0,0,0,1"
"70,119,40,28,33,0,12,9,12,19,1,0,0,1"
"148,36,129,43,36,0,2,6,11,8,1,1,0,0"
"41,54,24,35,9,1,8,18,12,11,1,0,1,1"
"66,15,149,136,31,0,0,3,15,1,1,1,1,0"
"117,4,100,79,27,2,6,12,11,6,0,0,0,0"
"46,4,58,7,7,2,4,15,14,11,1,1,0,0"
"9,97,91,46,48,1,15,1,15,2,1,1,0,1"
"﻿73,85,51,87,48,2,15,3,12,18,0,0,0,0"
"95,91,129,122,49,0,11,18,15,8,0,1,1,0"
"59,140,52,26,46,1,12,1,17,16,0,1,1,0"
"56,83,114,126,9,2,12,16,16,16,1,0,1,0"
"137,127,109,123,43,2,12,6,20,7,1,1,1,1"
"59,85,75,17,49,1,7,11,3,19,1,0,1,1"
"26,84,84,22,39,0,1,15,1,10,0,0,1,0"
"14,12,48,140,6,2,1,8,3,0,0,1,0,0"
"92,145,78,52,18,0,7,7,1,15,1,0,1,1"
"8,75,48,104,25,1,12,20,8,19,1,0,1,1"
"55,77,20,66,6,2,11,6,15,10,0,1,0,0"
"128,143,107,115,16,0,4,7,3,14,0,1,0,1"
"92,79,86,75,49,2,6,6,20,16,1,0,0,0"
"116,53,7,131,36,2,20,3,3,6,0,1,1,1"
"89,60,27,56,34,2,3,5,14,11,0,0,1,1"
"66,103,24,50,29,0,6,19,19,10,1,0,0,0"
"35,18,10,131,11,0,4,15,5,0,0,0,0,1"
"107,120,130,76,18,0,18,9,8,2,0,0,1,0"
"73,115,119,50,48,1,15,6,4,9,0,0,1,1"
"12,130,102,28,48,1,12,4,1,11,1,0,1,0"
"103,47,130,34,50,0,4,6,18,6,1,1,1,0"
"120,114,36,124,47,0,18,12,12,2,0,1,1,0"
"73,106,141,7,48,0,1,5,2,0,1,1,1,1"
"112,23,42,144,28,2,11,4,12,2,0,0,1,0"
"109,124,20,128,37,2,5,7,9,20,0,0,0,0"
"24,138,54,87,42,2,6,3,6,18,0,0,1,1"
"114,133,31,44,32,0,8,3,7,15,0,0,0,0"
"72,93,124,138,6,2,10,1,11,8,0,1,1,0"
"43,56,84,140,11,0,7,15,16,16,0,1,1,1"
"91,39,77,5,7,2,19,1,0,5,1,1,0,1"
"90,133,78,132,48,0,18,8,20,3,1,1,1,0"
"56,141,12,61,14,1,9,7,11,20,0,1,1,0"
"74,16,113,128,26,0,19,17,20,16,0,0,1,1"
"110,1,25,4,11,2,4,15,18,20,1,1,0,1"
"83,64,113,58,13,1,15,15,1,1,0,1,1,0"
"31,121,142,143,47,0,2,4,1,14,0,1,1,0"
"104,141,58,137,36,1,4,12,9,4,0,1,1,0"
"75,57,92,18,32,1,8,2,0,11,0,1,0,0"
"116,64,16,15,23,1,7,18,10,11,1,1,0,0"
"23,65,42,88,46,0,18,16,10,15,1,0,1,0"
"120,73,8,110,5,1,2,20,11,20,0,0,1,0"
"142,81,77,35,27,1,10,3,18,16,1,1,0,0"
"17,19,95,49,7,1,10,12,10,5,1,0,1,0"
"30,25,61,132,29,0,5,17,1,4,1,1,0,0"
"121,37,91,65,36,2,13,15,10,9,0,1,0,1"
"38,126,147,27,2,2,17,4,4,16,1,0,0,1"
"45,49,26,140,34,0,15,18,8,13,0,1,0,0"
"55,60,83,25,11,0,20,6,16,17,0,1,1,0"
"8,82,4,30,35,2,8,16,12,3,1,1,1,0"
"62,118,88,9,31,0,5,18,15,1,1,0,0,1"
"﻿63,103,74,15,4,2,3,15,4,19,1,0,0,1"
"41,134,77,52,1,0,18,9,20,10,0,1,0,1"
"123,61,127,108,36,0,0,19,20,5,1,0,0,0"
"24,105,132,0,50,0,15,16,10,18,0,1,1,1"
"77,22,12,18,49,1,8,16,10,6,1,1,1,0"
"7,109,60,120,11,0,20,1,16,5,1,0,0,1"
"144,32,21,38,21,2,6,16,6,18,0,0,1,1"
"128,21,25,41,30,2,7,12,16,2,1,0,0,1"
"12,75,55,109,26,2,0,13,6,3,1,1,0,0"
"81,66,73,86,33,1,11,18,12,1,0,0,1,0"
"105,12,31,149,16,0,1,1,1,8,0,1,0,1"
"81,117,147,137,12,0,14,19,3,6,1,1,1,1"
"112,40,97,150,10,2,19,0,14,11,1,1,1,1"
"5,121,4,61,1,1,18,1,16,11,0,0,0,0"
"133,15,113,8,25,1,17,3,14,8,1,0,1,0"
"3,136,75,38,1,2,18,16,15,8,0,0,0,0"
"114,124,54,47,23,2,3,6,15,15,0,1,1,0"
"46,48,84,117,47,1,12,15,7,2,1,1,0,1"
"62,112,54,134,37,0,15,4,10,2,1,1,1,0"
"37,112,123,26,50,0,16,18,12,8,1,0,0,0"
"80,102,7,120,44,2,4,12,4,18,0,1,0,1"
"35,145,3,21,14,0,17,20,15,6,0,0,0,0"
"125,87,45,22,20,1,13,16,5,10,0,0,1,0"
"92,3,110,126,14,0,3,4,2,11,0,1,0,0"
"142,145,73,23,38,1,17,14,2,13,0,1,0,1"
"41,48,105,57,27,1,18,14,4,4,0,0,1,0"
"27,115,31,27,16,2,15,10,18,6,1,1,1,1"
"117,139,23,19,39,1,7,8,12,20,1,0,0,1"
"29,88,112,141,8,1,1,5,17,9,1,1,1,0"
"28,64,37,56,38,2,18,17,9,19,1,1,1,1"
"124,3,73,62,4,2,4,11,19,20,0,0,1,1"
"147,143,40,82,13,1,1,4,3,9,1,0,1,1"
"123,108,41,74,46,0,12,16,1,1,0,0,1,0"
"13,130,142,76,3,1,15,19,6,9,0,0,0,1"
"108,125,63,148,49,1,14,16,6,12,0,1,0,1"
"23,120,40,88,15,1,15,12,1,16,1,1,0,0"
"27,27,53,114,0,2,7,7,8,11,0,1,0,1"
"89,66,121,97,50,0,12,14,12,8,1,1,1,1"
"113,144,56,27,29,0,2,14,2,14,0,0,0,0"
"83,40,16,93,30,1,18,16,18,8,0,0,1,1"
"119,85,126,61,28,1,16,3,14,12,0,1,0,1"
"43,16,95,107,36,2,5,12,5,12,1,1,0,1"
"66,38,75,36,30,0,10,1,12,11,0,0,1,1"
"33,22,128,36,27,1,19,10,0,13,1,0,0,1"
"126,96,142,74,7,2,20,16,14,11,1,0,1,1"
"71,16,43,14,13,1,8,0,17,6,1,1,1,1"
"32,72,88,99,5,0,7,18,13,18,1,0,1,0"
"119,37,47,145,10,0,3,12,12,20,1,0,1,1"
"44,31,70,62,17,1,13,12,7,1,1,0,1,1"
"34,101,29,145,48,2,12,11,2,20,0,1,0,0"
"﻿14,46,129,41,37,1,13,11,8,14,1,1,1,1"
"51,113,8,7,9,2,20,3,15,9,0,1,0,0"
"150,110,89,105,47,0,6,18,0,0,1,1,0,1"
"88,149,86,105,50,2,15,16,19,19,1,0,1,0"
"71,18,17,15,32,0,3,10,6,0,0,0,0,1"
"23,143,105,81,23,2,16,14,15,7,1,0,0,0"
"67,150,120,0,22,0,2,1,5,14,0,0,1,1"
"121,94,76,54,42,0,16,13,15,7,0,1,1,0"
"131,128,43,136,18,0,10,15,2,13,0,1,1,0"
"5,17,77,101,48,1,13,16,18,16,0,1,0,1"
"120,133,69,97,17,2,8,15,5,5,0,0,0,0"
"99,100,2,38,32,1,1,6,3,18,0,0,0,0"
"102,141,48,3,42,1,14,2,11,11,1,0,0,0"
"93,67,115,108,19,2,1,9,3,17,1,1,0,1"
"70,99,14,35,13,0,9,12,8,13,0,0,0,1"
"107,134,13,4,34,2,11,11,12,16,0,0,0,1"
"61,119,100,65,43,1,0,7,4,12,1,0,0,1"
"115,117,52,66,8,1,18,1,18,18,1,1,0,0"
"63,9,122,78,11,0,3,20,17,14,0,0,0,1"
"26,140,16,132,23,1,17,15,2,15,1,1,1,1"
"135,52,2,145,37,2,13,4,20,17,0,1,1,0"
"20,46,36,33,50,1,13,8,8,20,0,0,1,0"
"136,1,42,138,15,2,7,11,13,12,0,1,1,0"
"51,34,3,56,20,1,18,6,14,2,1,0,1,1"
"49,90,43,138,23,0,1,16,10,16,0,1,1,1"
"33,131,148,52,1,1,15,17,19,14,1,1,0,1"
"12,87,122,66,33,2,16,17,14,10,0,0,0,0"
"81,15,14,129,5,2,19,16,10,7,0,0,0,0"
"21,43,116,33,25,2,17,10,13,12,0,0,0,0"
"116,104,1,68,22,1,15,14,17,12,1,1,1,1"
"9,98,65,71,6,1,16,7,3,1,1,1,0,1"
"101,111,111,14,20,1,10,9,20,17,0,0,0,1"
"92,141,112,146,7,0,18,1,17,1,1,0,0,1"
"31,3,132,42,27,1,15,0,16,12,1,1,1,1"
"64,106,124,60,2,0,6,8,8,4,1,1,1,1"
"35,61,131,45,12,1,18,19,18,1,0,0,1,0"
"18,75,142,60,6,2,5,9,11,3,1,1,0,1"
"126,47,138,17,5,1,18,20,15,20,1,1,1,1"
"105,27,36,62,40,2,13,4,4,20,0,0,1,1"
"4,20,149,99,19,0,10,20,20,2,0,0,1,1"
"139,65,40,149,5,0,17,5,8,15,0,1,0,1"
"147,148,6,17,28,1,10,17,5,7,0,0,1,1"
"127,113,23,59,6,0,3,2,19,15,0,0,0,1"
"16,94,9,8,7,2,3,10,7,17,1,1,1,1"
"34,53,58,75,10,0,19,2,15,16,1,1,1,0"
"70,126,19,78,23,0,3,11,17,3,0,1,1,1"
"131,141,127,57,24,2,11,11,6,6,1,1,1,0"
"111,73,134,113,30,2,19,16,11,5,0,1,0,1"
"14,57,83,4,29,1,12,12,19,9,0,1,1,1"
"6,89,59,47,19,2,13,12,9,16,1,1,1,0"
"﻿136,71,34,2,40,1,3,15,2,8,0,0,1,0"
"1,19,43,22,21,1,19,11,6,18,1,0,0,0"
"31,39,11,132,0,1,19,5,4,19,0,0,1,1"
"86,80,52,32,41,0,16,20,2,3,0,1,0,0"
"26,54,123,70,33,0,19,6,3,2,1,1,1,1"
"0,146,87,26,45,1,13,14,16,15,0,1,1,0"
"96,93,49,135,35,0,18,19,12,20,1,0,0,0"
"65,133,44,90,49,0,17,15,9,18,0,1,1,0"
"97,40,22,89,17,2,0,19,12,10,0,0,1,0"
"24,35,71,120,25,0,5,2,9,14,1,1,0,0"
"99,119,95,33,35,0,1,10,9,9,1,1,1,1"
"127,52,144,3,10,1,9,18,20,9,0,1,0,1"
"40,57,150,5,5,1,13,6,9,12,1,1,0,0"
"53,82,102,25,38,1,4,14,4,13,1,0,1,1"
"100,33,65,57,45,0,14,16,11,9,0,1,1,0"
"6,20,142,129,4,0,11,19,17,0,1,0,1,1"
"85,90,2,85,43,0,4,16,3,3,1,0,0,1"
"129,33,100,61,17,1,9,18,13,2,0,1,1,1"
"114,95,76,126,43,1,18,18,9,4,1,1,1,0"
"139,74,129,124,31,1,7,15,0,11,1,0,1,0"
"69,92,32,40,50,0,13,15,0,4,1,0,0,1"
"44,142,54,39,3,0,16,19,7,5,1,1,1,0"
"75,105,116,150,33,0,0,2,9,13,1,0,1,0"
"136,59,117,110,43,0,5,7,11,5,0,1,0,0"
"79,85,28,115,6,0,9,6,15,14,1,1,0,0"
"81,136,37,139,34,0,17,3,5,4,1,0,0,1"
"41,138,47,141,35,1,15,18,6,15,1,0,1,0"
"73,130,86,60,21,1,20,5,16,4,0,0,0,1"
"35,147,88,113,49,0,3,5,13,0,0,1,1,1"
"71,141,41,85,17,2,3,4,1,16,0,1,0,1"
"53,133,60,128,48,0,15,18,8,9,0,1,0,1"
"136,41,86,84,0,1,4,18,16,9,0,1,0,1"
"66,53,40,44,5,1,17,5,12,10,1,1,1,0"
"38,130,33,48,33,2,8,9,12,2,0,0,0,0"
"55,62,34,93,41,1,3,7,15,14,1,1,0,1"
"77,36,71,97,21,0,4,14,16,0,0,0,1,0"
"6,47,117,145,42,0,4,6,20,1,0,1,0,0"
"125,67,109,100,22,0,18,5,15,7,1,1,1,0"
"46,55,49,25,12,2,20,3,1,14,0,0,1,0"
"83,148,116,36,31,2,18,10,7,16,0,0,0,0"
"49,89,44,142,19,1,19,20,20,19,0,0,0,0"
"15,49,11,3,48,2,7,11,15,8,0,1,0,1"
"9,107,75,43,0,0,18,12,18,19,1,1,0,1"
"86,104,34,99,9,2,0,13,7,14,1,1,1,1"
"77,3,45,97,11,0,4,16,11,4,1,1,0,1"
"146,50,51,62,31,1,8,0,7,11,0,0,0,0"
"60,57,38,119,18,0,5,17,7,2,0,0,1,0"
"127,43,12,142,38,1,10,16,12,2,0,1,1,0"
"140,9,1,3,3,0,18,18,4,15,1,0,0,0"
"60,121,70,130,1,2,7,19,6,17,0,0,1,1"
"﻿118,78,119,130,20,2,16,12,15,0,1,1,1,0"
"14,119,128,138,24,1,9,14,0,11,0,0,0,0"
"42,56,67,48,8,0,14,17,14,19,0,1,1,0"
"17,36,125,17,30,1,9,15,17,2,1,1,0,0"
"82,73,74,46,7,2,14,13,8,13,0,0,0,0"
"39,4,29,25,17,1,0,14,6,3,0,0,0,0"
"75,61,56,19,43,2,7,9,7,7,0,0,1,1"
"46,77,0,25,40,2,17,6,19,2,1,0,0,1"
"105,86,146,93,45,2,17,6,13,15,1,0,0,1"
"21,107,23,82,33,1,4,5,2,12,1,0,0,0"
"106,116,98,73,46,0,3,1,1,7,0,1,0,1"
"27,40,140,117,41,0,8,4,9,6,0,1,0,1"
"64,48,131,17,36,2,7,3,13,1,0,1,1,1"
"21,145,87,137,17,1,12,18,4,9,1,1,1,0"
"89,150,132,147,32,0,0,15,18,11,0,1,1,1"
"44,102,73,135,8,2,2,15,20,14,1,1,1,1"
"122,96,81,113,22,2,8,17,8,2,0,0,0,0"
"9,44,114,101,43,2,8,0,13,15,1,0,0,1"
"112,147,87,42,39,2,14,10,8,10,1,0,1,1"
"72,29,139,101,31,0,14,3,0,10,0,1,0,0"
"12,7,100,149,26,0,2,0,1,9,1,1,1,1"
"20,89,14,122,48,1,1,17,14,11,0,1,1,1"
"37,28,86,115,23,1,20,10,6,18,0,1,1,1"
"95,19,39,48,19,2,4,10,3,11,1,1,0,0"
"82,55,137,12,34,0,18,5,8,8,0,1,0,0"
"16,50,137,5,48,0,7,8,19,14,1,1,0,1"
"123,146,120,137,5,1,4,6,3,11,0,0,0,1"
"27,27,20,140,9,0,0,11,8,6,0,0,1,1"
"67,15,112,138,27,2,15,8,4,20,0,0,0,0"
"39,120,35,123,30,0,2,10,20,2,0,1,1,1"
"12,117,100,14,11,2,16,11,16,8,0,0,1,0"
"71,0,143,109,41,1,7,5,14,9,1,0,0,1"
"11,81,130,60,27,2,18,14,6,18,0,0,0,0"
"66,104,130,133,49,2,7,12,3,14,1,0,1,0"
"91,9,4,52,17,0,19,10,16,13,0,0,1,0"
"90,32,97,105,38,1,10,13,12,18,1,1,1,1"
"88,80,140,134,23,1,6,16,20,19,1,0,0,1"
"74,40,6,12,32,2,20,6,9,16,0,0,1,1"
"49,67,58,80,35,0,3,0,8,13,0,0,0,1"
"103,82,43,9,32,0,15,17,4,14,0,0,1,1"
"142,55,11,78,4,1,16,18,5,1,0,0,0,0"
"16,149,66,7,34,0,19,16,16,7,0,0,0,0"
"128,135,41,141,18,0,17,2,6,4,1,1,0,0"
"81,143,6,26,1,1,1,20,17,9,1,1,1,1"
"118,5,82,124,34,0,17,5,3,7,0,0,1,1"
"49,44,38,26,16,2,17,18,19,4,0,1,0,1"
"41,62,89,83,44,0,7,2,2,11,1,1,1,1"
"126,136,66,41,18,2,7,17,14,6,1,0,0,0"
"36,140,48,8,9,0,11,13,16,5,1,1,0,1"
"49,45,125,41,17,1,13,4,0,17,1,1,0,0"
"﻿113,23,64,70,19,1,9,16,20,11,1,1,1,1"
"129,5,135,96,26,0,17,18,5,17,1,1,1,1"
"50,45,69,61,11,2,3,20,8,9,1,0,0,0"
"23,91,18,101,37,0,9,20,15,17,1,1,0,1"
"133,145,15,23,20,2,19,5,16,19,0,1,1,0"
"26,95,53,148,36,1,14,17,12,16,1,0,1,1"
"6,71,80,85,44,2,12,12,7,3,0,1,1,1"
"107,96,109,78,14,1,4,10,0,20,0,0,0,1"
"6,39,32,125,22,2,14,4,13,13,0,1,1,1"
"65,18,10,133,23,1,0,13,4,15,0,1,1,1"
"38,133,50,65,17,1,4,5,1,15,1,1,1,0"
"129,70,71,73,9,1,14,3,3,2,1,1,1,0"
"8,119,94,22,20,1,7,15,6,15,1,1,0,1"
"6,49,61,11,22,1,18,19,0,7,1,1,0,0"
"146,67,43,148,36,2,19,4,17,10,1,0,1,1"
"34,32,23,69,2,2,11,8,3,3,0,1,1,0"
"31,100,38,39,0,1,6,11,4,16,0,1,0,0"
"28,26,57,42,32,2,11,11,18,14,0,0,1,0"
"87,2,3,97,1,1,18,17,17,19,1,1,0,0"
"137,133,20,101,6,0,0,16,5,12,1,1,1,0"
"1,75,2,16,25,0,17,0,6,2,1,1,0,0"
"111,87,120,148,43,1,11,11,19,11,0,1,1,1"
"78,81,44,66,13,0,17,19,3,17,1,1,1,0"
"122,19,32,55,36,2,15,20,12,19,1,1,0,0"
"18,110,135,43,26,0,11,18,15,4,0,1,1,0"
"111,90,127,149,40,2,2,18,14,17,1,0,0,1"
"31,101,124,46,38,0,13,15,14,9,0,0,0,0"
"19,118,116,73,6,2,3,7,12,5,0,0,1,0"
"64,3,136,109,15,1,0,19,5,12,0,0,1,0"
"135,39,86,129,7,0,8,6,12,20,1,0,0,1"
"102,86,127,145,10,1,18,13,0,7,0,1,1,1"
"63,99,87,129,19,0,16,8,10,19,0,1,1,0"
"17,99,37,130,49,2,14,14,0,16,1,1,1,1"
"19,17,29,0,33,2,9,10,7,7,0,1,0,0"
"56,34,79,104,40,1,3,3,11,10,1,1,0,0"
"76,73,65,122,48,2,17,3,17,11,1,0,0,0"
"85,100,95,83,6,1,8,18,16,18,0,1,1,1"
"11,144,102,6,7,1,0,17,3,6,0,0,0,1"
"53,34,62,141,35,2,9,7,11,2,0,1,0,1"
"123,119,110,137,12,0,10,15,20,17,1,0,0,0"
"68,99,88,7,29,1,15,12,1,10,0,1,0,0"
"137,40,65,91,22,2,2,11,11,9,0,1,0,0"
"65,8,115,143,17,2,11,2,12,1,1,0,1,1"
"53,6,33,32,11,2,18,16,20,13,0,0,1,0"
"82,107,65,110,39,2,13,17,4,10,1,1,1,0"
"114,41,23,102,10,0,14,6,19,10,0,0,1,1"
"28,58,34,140,22,1,20,11,0,13,1,0,0,1"
"18,90,55,65,30,2,15,16,12,0,0,0,0,1"
"147,57,3,62,0,2,12,3,3,0,1,1,1,0"
"12,8,36,124,18,1,19,12,3,8,1,1,0,1"
"﻿15,97,103,12,2,1,10,7,17,19,1,1,1,0"
"111,86,42,12,31,2,2,5,2,1,1,0,0,1"
"27,142,16,70,32,0,14,2,0,20,1,0,1,0"
"39,11,135,31,18,2,13,0,4,5,1,0,1,0"
"30,60,133,60,7,2,4,17,19,7,0,1,0,1"
"107,62,130,103,46,2,1,20,8,9,1,0,1,0"
"0,27,71,147,31,1,1,1,6,5,0,0,1,0"
"117,98,107,108,1,0,4,18,8,5,1,0,1,0"
"19,89,97,95,37,2,7,1,2,3,1,1,1,0"
"144,119,54,37,48,1,9,9,4,18,0,1,1,0"
"6,120,63,127,28,2,19,20,18,10,1,0,1,1"
"97,29,8,75,31,1,17,0,4,1,1,1,0,0"
"49,37,97,52,7,1,1,0,3,13,1,0,0,0"
"119,4,72,22,24,2,3,14,3,14,1,1,0,1"
"131,0,30,12,37,2,15,4,9,1,1,1,0,1"
"25,141,14,102,12,2,10,12,2,11,0,1,0,0"
"33,125,93,87,32,2,6,11,6,11,0,1,1,0"
"81,98,130,80,33,1,19,2,10,4,0,0,1,1"
"102,101,5,47,33,0,7,19,2,4,0,1,1,1"
"24,64,99,132,20,1,12,16,20,14,1,0,1,0"
"92,8,29,39,9,2,18,19,14,10,1,0,0,0"
"39,112,18,137,4,1,13,9,3,20,1,0,1,0"
"51,38,65,48,30,0,17,3,15,19,0,0,0,0"
"6,57,41,6,10,1,7,16,8,5,1,0,0,1"
"45,56,100,14,10,0,3,15,18,7,1,0,0,0"
"144,120,13,64,43,1,6,10,12,5,1,1,0,1"
"149,63,99,9,30,0,13,11,13,8,1,1,0,0"
"84,66,137,53,29,1,20,3,13,12,0,0,0,0"
"146,87,69,23,28,0,5,17,0,8,0,1,0,0"
"131,146,123,126,2,0,7,11,9,14,0,0,1,0"
"103,55,47,60,14,1,7,8,20,4,1,1,1,1"
"82,33,23,10,20,1,8,19,1,16,0,0,1,0"
"4,77,90,82,2,2,17,4,9,3,1,1,1,1"
"31,92,72,40,22,1,19,19,12,16,1,0,1,1"
"131,16,39,15,40,0,5,8,15,12,0,1,0,0"
"18,13,17,105,17,2,14,18,20,2,0,1,1,1"
"51,3,11,140,43,0,7,8,17,17,1,1,1,1"
"1,7,13,95,34,2,4,15,10,15,0,0,0,0"
"141,4,135,30,22,1,3,4,0,2,1,1,1,1"
"121,92,10,100,11,0,7,5,2,11,1,1,1,1"
"23,134,33,38,18,0,5,14,16,16,0,0,0,1"
"40,98,66,61,27,2,10,20,7,0,1,1,1,0"
"25,47,88,57,30,0,8,6,7,9,1,1,0,1"
"76,98,141,80,14,0,18,1,12,17,1,1,0,1"
"109,122,49,8,9,1,16,9,7,13,0,1,1,1"
"22,71,57,72,42,2,19,6,3,9,1,0,1,0"
"115,127,123,146,3,2,5,14,16,3,0,1,0,1"
"71,107,120,99,19,0,11,20,0,9,1,1,1,1"
"103,87,66,74,45,0,6,3,19,19,0,0,0,0"
"69,53,35,127,18,2,12,6,19,10,1,1,1,0"
"﻿126,19,121,91,27,1,3,10,3,17,1,1,0,1"
